enwiki,frwiki,dewiki,eswiki,ruwiki,nlwiki,jawiki,svwiki,commonswiki,trwiki,eowiki,simplewiki,ptwiki,cawiki,arwiki,plwiki,ukwiki,zhwiki,fawiki,kowiki,cswiki,nowiki,hewiki,huwiki,euwiki,itwiki,idwiki,fiwiki,dawiki,arzwiki,label
4338,10690.0,10718.0,1469.0,7709.0,2236.0,5549.0,1114.0,146.0,701.0,1916.0,1251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cultural exclusive
3098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,2028.0,0.0,5469.0,6353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cultural agnostic
18233,0.0,0.0,35.0,6205.0,1637.0,2549.0,1711.0,619.0,7106.0,1646.0,0.0,4008.0,0.0,2856.0,1271.0,2440.0,1278.0,1121.0,2028.0,1221.0,3295.0,1701.0,4138.0,1489.0,0.0,0.0,0.0,0.0,0.0,cultural agnostic
1412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cultural agnostic
9358,6449.0,0.0,2096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5867.0,0.0,5813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cultural exclusive
17834,3877.0,27032.0,0.0,0.0,1689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2603.0,0.0,0.0,0.0,0.0,cultural exclusive
2952,3387.0,2954.0,0.0,0.0,2297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5556.0,0.0,0.0,0.0,0.0,cultural exclusive
113,0.0,10690.0,0.0,0.0,11156.0,0.0,0.0,541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cultural exclusive
17134,1700.0,9028.0,29949.0,4028.0,0.0,1925.0,0.0,0.0,0.0,0.0,0.0,4936.0,15280.0,0.0,5567.0,10409.0,0.0,5378.0,1195.0,0.0,0.0,0.0,0.0,1720.0,47888.0,1363.0,0.0,0.0,0.0,cultural representative
74230,19619.0,18426.0,77990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2142.0,0.0,3071.0,0.0,2613.0,0.0,2856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cultural agnostic
8437,0.0,0.0,0.0,19091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2314.0,7547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1364.0,0.0,0.0,0.0,0.0,0.0,cultural exclusive
13480,9188.0,11318.0,0.0,0.0,4630.0,0.0,0.0,54.0,0.0,0.0,2352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cultural exclusive
3885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cultural agnostic
24301,0.0,1039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17207.0,0.0,0.0,0.0,0.0,cultural agnostic
13806,15034.0,32411.0,4733.0,5146.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,7093.0,2518.0,3269.0,0.0,0.0,0.0,1266.0,12500.0,0.0,0.0,4936.0,0.0,2509.0,0.0,0.0,0.0,cultural agnostic
1801,0.0,0.0,0.0,0.0,0.0,0.0,3850.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300.0,0.0,0.0,0.0,0.0,0.0,1744.0,0.0,0.0,cultural exclusive
12053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4780.0,0.0,0.0,6141.0,0.0,0.0,0.0,0.0,cultural agnostic
