,enwiki,frwiki,dewiki,eswiki,itwiki,ruwiki,ptwiki,nlwiki,jawiki,plwiki,ukwiki,svwiki,cawiki,kowiki,fiwiki,cswiki,trwiki,nowiki,euwiki,zhwiki,eowiki,simplewiki,arwiki,fawiki,idwiki,hewiki,arzwiki,dawiki,huwiki,commonswiki
enwiki,1.0,0.8333333333333334,0.8333333333333334,0.77,0.7466666666666667,0.7133333333333334,0.6433333333333333,0.6733333333333333,0.6833333333333333,0.6133333333333333,0.6133333333333333,0.5933333333333334,0.61,0.61,0.53,0.5633333333333334,0.5466666666666666,0.5733333333333334,0.45666666666666667,0.6366666666666667,0.52,0.45666666666666667,0.64,0.6133333333333333,0.5633333333333334,0.5133333333333333,0.34,0.49666666666666665,0.45666666666666667,0.38666666666666666
frwiki,0.8333333333333334,1.0,0.7921146953405018,0.7947761194029851,0.8091603053435115,0.7709923664122137,0.7104247104247104,0.7251908396946565,0.7366412213740458,0.6953125,0.6821705426356589,0.6850393700787402,0.69140625,0.6526717557251909,0.6039215686274509,0.6561264822134387,0.6046511627906976,0.6293436293436293,0.5236220472440944,0.683206106870229,0.5736434108527132,0.5296442687747036,0.6806083650190115,0.6564885496183206,0.6115384615384616,0.5968379446640316,0.3486590038314176,0.5896414342629482,0.5357142857142857,0.3505535055350554
dewiki,0.8333333333333334,0.7921146953405018,1.0,0.7554744525547445,0.7886792452830189,0.7709923664122137,0.6973180076628352,0.751937984496124,0.7169811320754716,0.6756756756756757,0.6439393939393939,0.6653696498054474,0.6590038314176245,0.6463878326996197,0.59765625,0.6177606177606177,0.6171875,0.642023346303502,0.51171875,0.6641509433962264,0.5984251968503937,0.5058365758754864,0.6742424242424242,0.6439393939393939,0.5992366412213741,0.5719844357976653,0.36964980544747084,0.55859375,0.5296442687747036,0.37593984962406013
eswiki,0.77,0.7947761194029851,0.7554744525547445,1.0,0.77734375,0.7519685039370079,0.7448559670781894,0.7250996015936255,0.744,0.6938775510204082,0.6869918699186992,0.6900826446280992,0.7468354430379747,0.6967213114754098,0.6455696202531646,0.6528925619834711,0.6596638655462185,0.6516393442622951,0.5527426160337553,0.6947791164658634,0.6058091286307054,0.5462184873949579,0.7195121951219512,0.6869918699186992,0.6460905349794238,0.6108786610878661,0.3875,0.5767634854771784,0.5659574468085107,0.35546875
itwiki,0.7466666666666667,0.8091603053435115,0.7886792452830189,0.77734375,1.0,0.7732793522267206,0.759493670886076,0.7530864197530864,0.7368421052631579,0.7071129707112971,0.6929460580912863,0.6962025316455697,0.7172995780590717,0.6818181818181818,0.6508620689655172,0.6794871794871795,0.6796536796536796,0.65,0.5833333333333334,0.6733870967741935,0.6593886462882096,0.5764192139737991,0.7049180327868853,0.7,0.6375,0.6434782608695652,0.4051724137931034,0.6008583690987125,0.5903083700440529,0.3654618473895582
ruwiki,0.7133333333333334,0.7709923664122137,0.7709923664122137,0.7519685039370079,0.7732793522267206,1.0,0.7467811158798283,0.7478991596638656,0.7458333333333333,0.7688888888888888,0.7847533632286996,0.7192982456140351,0.7336244541484717,0.7186147186147186,0.6877828054298643,0.6872246696035242,0.7104072398190046,0.7232142857142857,0.6100917431192661,0.7161016949152542,0.6371681415929203,0.5739910313901345,0.7652173913043478,0.7155172413793104,0.6724890829694323,0.6428571428571429,0.39823008849557523,0.6278026905829597,0.6027397260273972,0.3469387755102041
ptwiki,0.6433333333333333,0.7104247104247104,0.6973180076628352,0.7448559670781894,0.759493670886076,0.7467811158798283,1.0,0.7025862068965517,0.7379912663755459,0.7214611872146118,0.7058823529411765,0.7096774193548387,0.7570093457943925,0.7327188940092166,0.7170731707317073,0.6837209302325581,0.7246376811594203,0.6898148148148148,0.6417910447761194,0.6842105263157895,0.6619047619047619,0.6097560975609756,0.7111111111111111,0.7214611872146118,0.7075471698113207,0.6602870813397129,0.4320388349514563,0.6285714285714286,0.6176470588235294,0.33766233766233766
nlwiki,0.6733333333333333,0.7251908396946565,0.751937984496124,0.7250996015936255,0.7530864197530864,0.7478991596638656,0.7025862068965517,1.0,0.7172995780590717,0.7155555555555555,0.7155555555555555,0.7592592592592593,0.7111111111111111,0.7035398230088495,0.7109004739336493,0.6940639269406392,0.6712328767123288,0.7077625570776256,0.6220095693779905,0.7236842105263158,0.6651162790697674,0.6220095693779905,0.7205240174672489,0.6929824561403509,0.6636771300448431,0.6635514018691588,0.413953488372093,0.647887323943662,0.6376811594202898,0.3140495867768595
jawiki,0.6833333333333333,0.7366412213740458,0.7169811320754716,0.744,0.7368421052631579,0.7458333333333333,0.7379912663755459,0.7172995780590717,1.0,0.683982683982684,0.6986899563318777,0.7098214285714286,0.7092511013215859,0.7798165137614679,0.7169811320754716,0.7155963302752294,0.7162790697674418,0.6830357142857143,0.5833333333333334,0.7217391304347827,0.6409090909090909,0.5688073394495413,0.7336244541484717,0.7366071428571429,0.6846846846846847,0.6543778801843319,0.40825688073394495,0.6388888888888888,0.6056338028169014,0.32098765432098764
plwiki,0.6133333333333333,0.6953125,0.6756756756756757,0.6938775510204082,0.7071129707112971,0.7688888888888888,0.7214611872146118,0.7155555555555555,0.683982683982684,1.0,0.7358490566037735,0.7745098039215687,0.7311320754716981,0.7149532710280374,0.715,0.7135922330097088,0.7058823529411765,0.6952380952380952,0.6461538461538462,0.7045454545454546,0.642512077294686,0.6130653266331658,0.7090909090909091,0.6880733944954128,0.6729857819905213,0.6732673267326733,0.43,0.6567164179104478,0.6294416243654822,0.31004366812227074
ukwiki,0.6133333333333333,0.6821705426356589,0.6439393939393939,0.6869918699186992,0.6929460580912863,0.7847533632286996,0.7058823529411765,0.7155555555555555,0.6986899563318777,0.7358490566037735,1.0,0.6915887850467289,0.7230046948356808,0.7230046948356808,0.715,0.7303921568627451,0.7227722772277227,0.7033492822966507,0.6632124352331606,0.7045454545454546,0.642512077294686,0.6294416243654822,0.7247706422018348,0.6880733944954128,0.6729857819905213,0.681592039800995,0.4228855721393035,0.665,0.6377551020408163,0.3157894736842105
svwiki,0.5933333333333334,0.6850393700787402,0.6653696498054474,0.6900826446280992,0.6962025316455697,0.7192982456140351,0.7096774193548387,0.7592592592592593,0.7098214285714286,0.7745098039215687,0.6915887850467289,1.0,0.7272727272727273,0.719047619047619,0.783068783068783,0.6926829268292682,0.7360406091370558,0.7587939698492462,0.6492146596858639,0.7242990654205608,0.7040816326530612,0.6935483870967742,0.7209302325581395,0.7156398104265402,0.6844660194174758,0.7382198952879581,0.4358974358974359,0.694300518134715,0.6492146596858639,0.3125
